"schema_version"	"domain"	"kind"	"id"	"name"	"value"	"stage_1"	"stage_2"	"stage_3"	"unit"	"data_type"	"attributes"	"formula"	"notes"
"1.0"	"meta"	"schema"	"balance_schema_version"	"平衡表结构版本"	"1.0"	""	""	""	"version"	"string"	""	""	"修改列结构时递增"
"1.0"	"meta"	"schema"	"balance_content_version"	"平衡内容版本"	"2026.07.16.1"	""	""	""	"version"	"string"	""	""	"首轮实际数值基准"
"1.0"	"meta"	"schema"	"runtime_source_policy"	"运行时数据策略"	"generated_resources"	""	""	""	"policy"	"string"	"payload=source=master_tsv;runtime=readonly_tres"	""	"TSV 为编辑源；游戏读取生成的只读 Resource"
"1.0"	"pacing"	"target"	"run_fast_minutes"	"胡局完整局时"	"36"	""	""	""	"minutes"	"float"	"payload=min=32;max=40"	""	"用于快速决策和胡局"
"1.0"	"pacing"	"target"	"run_p50_minutes"	"普通成功局时P50"	"48"	""	""	""	"minutes"	"float"	"payload=min=45;max=52"	""	"正式航程第一平衡目标"
"1.0"	"pacing"	"target"	"run_p90_minutes"	"谨慎搜刮局时P90"	"58"	""	""	""	"minutes"	"float"	"payload=min=55;max=60"	""	"超过60分钟视为节奏失败"
"1.0"	"pacing"	"config"	"completed_nodes"	"结算节点总数"	"21"	""	""	""	"count"	"int"	""	""	"不含三场Boss结算"
"1.0"	"pacing"	"config"	"stage_completed_nodes"	"各阶段结算节点"	""	"5"	"7"	"9"	"count"	"int"	""	"stage_sum=21"	"对应危机阈值增量"
"1.0"	"pacing"	"config"	"crisis_thresholds"	"Boss危机阈值"	""	"5"	"12"	"21"	"crisis"	"int"	""	""	"保持现有航程锚点"
"1.0"	"pacing"	"config"	"boss_count"	"Boss场数"	"3"	""	""	""	"count"	"int"	""	""	"每阶段一场"
"1.0"	"pacing"	"target"	"map_candidate_nodes"	"航图候选节点"	"50"	""	""	""	"count"	"int"	"payload=min=45;max=55"	""	"实际只完成21个"
"1.0"	"pacing"	"target"	"completed_battle_nodes"	"完成探索战斗节点"	"8.5"	""	""	""	"count"	"float"	"payload=min=8;max=9"	""	"P50计算使用8.5"
"1.0"	"pacing"	"target"	"completed_event_nodes"	"完成事件节点"	"6"	""	""	""	"count"	"int"	"payload=min=5;max=7"	""	"24项事件库的单局中位数"
