
=== Stutter monitor started at 2026-05-29T09:57:42 | user_dir=C:/Users/admin/AppData/Roaming/Godot/app_userdata/高能⭐宇宙⭐大爆炸 ===
2026-05-29T09:57:42 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.035 max_frame_ms=35.49 budget_elapsed_ms=0.20 deferred=0 scene=MainMenu path=res://scenes/app/MainMenu.tscn enemies=0 projectiles=0 nodes=28 score=0 hp=100 elapsed=0.15

=== Stutter monitor started at 2026-05-29T09:59:08 | user_dir=C:/Users/admin/AppData/Roaming/Godot/app_userdata/高能⭐宇宙⭐大爆炸 ===
2026-05-29T09:59:08 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.035 max_frame_ms=35.34 budget_elapsed_ms=0.08 deferred=0 scene=MainMenu path=res://scenes/app/MainMenu.tscn enemies=0 projectiles=0 nodes=28 score=0 hp=100 elapsed=0.11
2026-05-29T09:59:08 | reason=single_frame_over_budget label= fps=30.0 frames=9 seconds=0.034 max_frame_ms=35.34 budget_elapsed_ms=0.14 deferred=0 scene=MainMenu path=res://scenes/app/MainMenu.tscn enemies=0 projectiles=0 nodes=28 score=0 hp=100 elapsed=0.21
2026-05-29T09:59:10 | reason=single_frame_over_budget label= fps=30.0 frames=24 seconds=0.778 max_frame_ms=778.14 budget_elapsed_ms=0.02 deferred=0 scene=<none> path=<dynamic> enemies=0 projectiles=0 nodes=0 score=0 hp=100 elapsed=0.14
2026-05-29T09:59:10 | reason=low_fps_window label= fps=20.7 frames=24 seconds=1.160 max_frame_ms=778.14 budget_elapsed_ms=0.58 deferred=0 scene=<none> path=<dynamic> enemies=0 projectiles=0 nodes=0 score=0 hp=100 elapsed=0.14
2026-05-29T09:59:13 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=3.158 max_frame_ms=3158.20 budget_elapsed_ms=0.16 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=0 projectiles=0 nodes=106 score=0 hp=100 elapsed=0.28
2026-05-29T09:59:13 | reason=low_fps_window label= fps=0.3 frames=1 seconds=3.158 max_frame_ms=3158.20 budget_elapsed_ms=1.17 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=0 projectiles=0 nodes=106 score=0 hp=100 elapsed=0.28
2026-05-29T09:59:13 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.191 max_frame_ms=190.61 budget_elapsed_ms=0.28 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=0 projectiles=0 nodes=109 score=0 hp=100 elapsed=0.41
